7response,context,context/0,context/1,context/2,context/3,context/4,context/5
 Can we get back to this? Still having issues. ," Let me check with a colleague and see what's causing this, it's very weird. I'll get back to you when I have updates. ", Jpg. I resaved it 3x out of PS. ," Hi there, what's the file type of the image you're trying to place? Have you tried re-saving the image? ","Mmmk, Design Twitter. Can anyone explain why when I place my 1920x1080/72ppi image in my 1920x1080 doc, it isnâ€t the right size? ", , , 
 When I enlarge it... it pixelates. â˜¹ï¸ ," After placing your image, you'll have to manually adjust the fitting as a workaround. Sorry for any frustration this has caused. ", Can we get back to this? Still having issues. ," Let me check with a colleague and see what's causing this, it's very weird. I'll get back to you when I have updates. ", Jpg. I resaved it 3x out of PS. ," Hi there, what's the file type of the image you're trying to place? Have you tried re-saving the image? ","Mmmk, Design Twitter. Can anyone explain why when I place my 1920x1080/72ppi image in my 1920x1080 doc, it isnâ€t the right size? ", 
 Jpg. I resaved it 3x out of PS. ," Hi there, what's the file type of the image you're trying to place? Have you tried re-saving the image? ","Mmmk, Design Twitter. Can anyone explain why when I place my 1920x1080/72ppi image in my 1920x1080 doc, it isnâ€t the right size? ", , , , , 
" Sure. Iâ€m out of the office now, too! Thanks. "," Let me loop in the expert. It is after hour for the expert, they will respond ASAP back in office again, please excuse the delay.^Raj ", Jpg. I resaved it 3x out of PS. ," Hi there, what's the file type of the image you're trying to place? Have you tried re-saving the image? ","Mmmk, Design Twitter. Can anyone explain why when I place my 1920x1080/72ppi image in my 1920x1080 doc, it isnâ€t the right size? ", , , 
 I am on the adobe customer care chat now waiting to chat to someone. I want 2 have my original photoshop back...i didnt ask for an upgrade , If you have a CC subscription you may install Photoshop CC from Creative Cloud desktop app. , I ran latest update on my MacBook pro and in that apps attached to my creative cloud account also updated. Loosing Photoshop subscription. ," Hi Amy, could you please elaborate the issue for subscription after the Photoshop update so that we may help. ",please help! I have updated my softwere and lost my subscription to photoshop! , , , 
 Thank you. Issue has been resolved. It was my error. , Please let me know if you were able to get the issue resolved after chatting with our support team. , I am on the adobe customer care chat now waiting to chat to someone. I want 2 have my original photoshop back...i didnt ask for an upgrade , If you have a CC subscription you may install Photoshop CC from Creative Cloud desktop app. , I ran latest update on my MacBook pro and in that apps attached to my creative cloud account also updated. Loosing Photoshop subscription. ," Hi Amy, could you please elaborate the issue for subscription after the Photoshop update so that we may help. ",please help! I have updated my softwere and lost my subscription to photoshop! , 
 Itâ€s literally the only annoying thing about Xbox. I want to play with friends and some of them I canâ€t join games ,can you guys please fix the crap where I canâ€t join certain friends? Itâ€s been going on ever since I started playing. , , , , , , 
 My brother and I have the game and my gamertag is Toxicradiation5 , Thanks for that information. Can you send us your gamertag and do you or your brother own the game? ," But I'm still able to play destiny 2, halo, etc.. with LIVE but it's only fortnite giving me this problem. "," Yes I'm still getting the problem, I don't know if it's because I game share my Xbox LIVE with my brother, but my brother can still play. "," Hi, are you still seeing this message in-game? Official Xbox support is just an away if you need help! ","I can't login because it says ""your account does not have the correct permission to access Xbox LIVE functionality""i have LIVE ", , 
 Hi there! We're actually an English speaking support channel. To continue in your native language you can here 1 ,"cada vez funciona peor su pagina ,los juegos que adquiri no me deja comentarlos ni puntuarlos,el soporte en linea no funciona.. ", , , , , , 
" Hello, thanks for reaching out to us. Have you tried reinstalling from the store or disc? ",how do I unhide hidden games? , , , , , , 
 Hi I'm sorry you are having issues. If you can please follow us and DM us your details we will be happy to help ~ Vicky ,"Bought a printer from you as it is advertised as compatible with Mac. It isn't, I spent from 11am until 8pm trying to resolve this with your staff and got nowhere. 16 miles, 2 hour phone calls, 3 store visits and 1 day wasted. Can you help me please?! ", , , , , , 
 They just know we all have so many problems. ,Sorry to about the delay. Allow us to assist you from here. What issue are you calling in about? , , , , , , 
 We'd like to make sure you're back up and running. Please return to the secure chat link at your convenience so we can at least run some tests for you. , My office phone and internet have been out for two weeks. Maybe itâ€s for me? ,Sorry to about the delay. Allow us to assist you from here. What issue are you calling in about? , , , , , 
 We apologize for the delay Greg. We appreciate your continued patience. ," Apparently is experiencing ""longer than average wait times."" Tell me about it. My office phone and internet has been out for more than two weeks. Same with my neighbors. Someone is lying to their boss, not just to me. ", We'd like to make sure you're back up and running. Please return to the secure chat link at your convenience so we can at least run some tests for you. , My office phone and internet have been out for two weeks. Maybe itâ€s for me? ,Sorry to about the delay. Allow us to assist you from here. What issue are you calling in about? , , , 
 We will continue to track that issue for you. Apologies for the delay. ," Literally every day I have this same twitter conversation with Yâ€all ask how things are going now that everything works, it doesnâ€t, so I go to the link for secure chat, give my info and get the news that itâ€s a group outage that will be fixed at 9pm that day. ", We can certainly help troubleshoot the business lines as well. Do you already have a ticket put in for it to be corrected? ," Awesome. My office phones and internet have been out for more than two weeks, with nothing but broken promises and bullshit excuses. Iâ€m going to drop my home FiOS because I wonâ€t be able to pay for it anymore. ", We're glad to hear you're happy with Fios service! Please let us know if do you have any issues with it. , FiOS. And I love it. Not a single problem in 9 years. , What service do you have at home? Fios or DSL high speed internet? ," Another day, and still no phone or internet. More than two weeks without connectivity, and we're within sight of the Washington Monument, not in hurricane-ravaged Puerto Rico. Whatever you're doing there it's not working. "
" Literally every day I have this same twitter conversation with Yâ€all ask how things are going now that everything works, it doesnâ€t, so I go to the link for secure chat, give my info and get the news that itâ€s a group outage that will be fixed at 9pm that day. ", We can certainly help troubleshoot the business lines as well. Do you already have a ticket put in for it to be corrected? ," Awesome. My office phones and internet have been out for more than two weeks, with nothing but broken promises and bullshit excuses. Iâ€m going to drop my home FiOS because I wonâ€t be able to pay for it anymore. ", We're glad to hear you're happy with Fios service! Please let us know if do you have any issues with it. , FiOS. And I love it. Not a single problem in 9 years. , What service do you have at home? Fios or DSL high speed internet? ," Another day, and still no phone or internet. More than two weeks without connectivity, and we're within sight of the Washington Monument, not in hurricane-ravaged Puerto Rico. Whatever you're doing there it's not working. ", We apologize for the delay Greg. We appreciate your continued patience. 
